Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
62,24.647,22.483,0,0.072,1.620,3.301,7.484,18.302,0.716
63,13.454,22.435,0,0.061,1.658,3.424,7.840,19.317,0.844
63,24.780,22.486,0,0.072,1.633,3.338,7.567,18.458,0.844
64,13.567,22.427,0,0.062,1.642,3.362,7.645,18.741,0.961
64,24.863,22.444,0,0.070,1.655,3.401,7.718,18.794,0.961
65,24.675,22.520,0,0.073,1.616,3.290,7.454,18.221,0.536
65,13.335,23.318,0,0.059,1.679,3.520,8.172,20.371,0.536
66,13.442,22.505,0,0.065,1.649,3.381,7.681,18.786,0.989
66,24.697,22.459,0,0.070,1.638,3.360,7.642,18.708,0.989
67,13.510,22.398,0,0.061,1.654,3.411,7.803,19.221,0.858
67,24.791,22.479,0,0.071,1.632,3.329,7.529,18.324,0.858
68,24.599,22.478,0,0.078,1.628,3.327,7.563,18.534,0.542
68,19.366,29.966,0,0.067,1.695,3.550,8.189,20.220,0.542
69,24.546,21.543,0,0.072,1.662,3.442,7.897,19.451,1.000
70,13.474,22.412,0,0.061,1.669,3.458,7.933,19.561,0.833
70,24.675,22.435,0,0.071,1.640,3.368,7.667,18.772,0.833
71,13.420,22.455,0,0.062,1.669,3.458,7.931,19.546,0.803
71,24.653,22.434,0,0.071,1.638,3.358,7.639,18.700,0.803
72,13.512,22.423,0,0.062,1.647,3.376,7.677,18.799,0.959
72,24.732,22.437,0,0.071,1.633,3.336,7.557,18.424,0.959
73,24.664,22.440,0,0.072,1.620,3.297,7.461,18.216,0.502
73,19.404,29.931,0,0.061,1.718,3.634,8.455,21.018,0.502
74,13.394,22.430,0,0.063,1.676,3.480,7.989,19.697,0.586
74,24.627,22.502,0,0.071,1.618,3.293,7.460,18.240,0.586
75,13.384,22.416,0,0.063,1.664,3.442,7.880,19.394,0.659
75,24.640,22.477,0,0.071,1.617,3.290,7.451,18.203,0.659
76,24.522,22.464,0,0.072,1.614,3.284,7.452,18.266,1.000
77,13.532,22.441,0,0.060,1.649,3.382,7.698,18.871,0.670
77,24.686,22.463,0,0.070,1.631,3.334,7.571,18.518,0.642
77,20.441,29.991,0,0.060,1.703,3.587,8.314,20.602,0.388
78,13.292,22.375,0,0.062,1.682,3.500,8.044,19.834,0.543
78,24.598,22.493,0,0.071,1.613,3.279,7.423,18.148,0.543
79,13.367,22.348,0,0.059,1.669,3.464,7.954,19.620,0.629
79,24.638,22.462,0,0.073,1.620,3.300,7.477,18.274,0.629
80,13.463,22.419,0,0.061,1.640,3.353,7.608,18.598,0.640
80,24.832,22.453,0,0.068,1.656,3.402,7.713,18.759,0.664
80,20.428,29.968,0,0.063,1.709,3.613,8.405,20.901,0.380
81,13.450,22.361,0,0.060,1.663,3.436,7.864,19.356,0.828
81,24.757,22.458,0,0.073,1.636,3.345,7.578,18.465,0.828
82,13.444,22.435,0,0.067,1.640,3.350,7.591,18.532,1.000
82,24.825,22.439,0,0.070,1.638,3.347,7.568,18.392,1.000
83,13.391,22.398,0,0.062,1.664,3.444,7.894,19.450,0.725
83,24.729,22.462,0,0.072,1.627,3.318,7.512,18.319,0.725
