Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,126,19.803,20.007,0,12.960,1.778,3.759,8.649,21.129,1.000
1,127,19.769,19.984,0,12.980,1.784,3.778,8.698,21.249,1.000
1,128,19.762,19.937,0,13.604,1.797,3.819,8.810,21.545,1.000
1,129,19.729,19.855,0,14.039,1.797,3.813,8.773,21.385,1.000
1,130,19.695,19.902,0,13.511,1.799,3.827,8.834,21.608,1.000
1,131,19.677,19.917,0,13.351,1.800,3.833,8.860,21.704,1.000
1,132,20.249,20.684,0,14.739,1.827,3.915,9.072,22.220,1.000
1,133,19.760,19.951,0,13.084,1.788,3.792,8.742,21.376,1.000
1,134,20.289,20.672,0,14.858,1.838,3.953,9.185,22.547,1.000
1,135,19.734,20.082,0,12.497,1.776,3.755,8.639,21.106,1.000
1,136,19.786,20.074,0,12.437,1.776,3.753,8.637,21.107,1.000
1,137,20.299,20.047,0,13.125,1.802,3.846,8.913,21.890,1.000
1,138,20.354,20.622,0,15.163,1.804,3.831,8.809,21.441,1.000
1,139,19.763,19.958,0,13.169,1.791,3.803,8.775,21.473,1.000
1,140,19.756,20.048,0,12.492,1.786,3.792,8.753,21.442,1.000
1,141,20.300,20.003,0,13.395,1.801,3.838,8.877,21.757,1.000
1,142,20.292,20.017,0,13.273,1.798,3.829,8.857,21.714,1.000
1,143,19.809,20.039,0,12.452,1.778,3.765,8.678,21.244,1.000
1,144,20.397,20.033,0,13.452,1.794,3.817,8.820,21.610,1.000
1,145,19.831,19.933,0,12.798,1.790,3.807,8.800,21.584,1.000
1,146,20.480,20.066,0,13.404,1.789,3.796,8.754,21.415,1.000
1,147,20.454,20.624,0,15.512,1.835,3.940,9.138,22.394,1.000
1,148,20.303,20.665,0,15.175,1.842,3.965,9.221,22.647,1.000
1,149,20.426,20.076,0,13.404,1.788,3.793,8.748,21.404,1.000
1,150,19.801,19.987,0,12.359,1.778,3.765,8.678,21.241,1.000
1,151,19.648,19.854,0,13.185,1.821,3.905,9.072,22.304,0.500
1,152,19.639,19.900,0,13.063,1.817,3.894,9.046,22.245,0.500
1,153,20.332,20.656,0,15.021,1.846,3.979,9.261,22.761,1.000
1,154,19.820,19.931,0,13.066,1.791,3.807,8.795,21.560,1.000
1,155,20.429,19.901,0,14.381,1.778,3.744,8.564,20.776,1.000
1,156,20.279,19.846,0,14.469,1.810,3.858,8.902,21.738,1.000
1,157,20.374,19.901,0,14.370,1.790,3.788,8.698,21.167,1.000
1,158,20.340,19.868,0,14.639,1.797,3.810,8.760,21.339,1.000
1,159,19.684,19.732,0,14.770,1.848,3.992,9.310,22.928,1.000
1,160,20.355,19.880,0,14.346,1.782,3.758,8.603,20.888,1.000
1,161,20.305,19.841,0,14.558,1.822,3.901,9.035,22.135,1.000
1,162,20.318,19.804,0,14.756,1.819,3.884,8.977,21.943,1.000
1,163,20.460,19.883,0,14.081,1.742,3.613,8.161,19.596,1.000
1,164,20.319,19.921,0,14.027,1.788,3.782,8.687,21.152,1.000
1,165,20.318,20.523,0,15.115,1.802,3.823,8.785,21.370,1.000
1,166,20.249,19.915,0,13.544,1.782,3.762,8.629,20.987,1.000
1,167,20.209,19.788,0,14.349,1.816,3.876,8.952,21.871,1.000
1,168,20.290,19.939,0,13.911,1.782,3.761,8.615,20.929,1.000
1,169,20.281,19.893,0,14.105,1.786,3.774,8.651,21.019,1.000
1,170,20.356,19.918,0,14.050,1.794,3.802,8.745,21.316,1.000
1,171,20.322,20.551,0,15.206,1.808,3.845,8.853,21.572,1.000
1,172,20.326,20.537,0,15.458,1.829,3.920,9.082,22.234,1.000
1,173,20.307,19.888,0,14.418,1.806,3.846,8.877,21.697,1.000
1,174,19.781,19.777,0,14.210,1.827,3.918,9.086,22.281,1.000
1,175,20.376,20.521,0,15.216,1.794,3.794,8.702,21.139,1.000
1,176,20.266,19.936,0,13.953,1.787,3.780,8.679,21.127,1.000
1,177,20.368,20.482,0,15.464,1.795,3.799,8.715,21.178,1.000
1,178,20.453,20.507,0,15.056,1.781,3.752,8.574,20.772,1.000
1,179,20.315,19.915,0,14.310,1.774,3.730,8.518,20.636,1.000
1,180,20.320,19.885,0,14.331,1.787,3.776,8.657,21.036,1.000
1,181,20.287,19.931,0,14.208,1.782,3.759,8.608,20.902,1.000
1,182,20.299,19.890,0,14.348,1.795,3.803,8.740,21.279,1.000
1,183,20.349,19.870,0,14.541,1.791,3.787,8.688,21.120,1.000
1,184,20.418,19.882,0,14.879,1.800,3.818,8.778,21.376,1.000
1,185,20.372,19.869,0,14.670,1.808,3.846,8.866,21.630,1.000
1,186,20.374,19.894,0,14.348,1.778,3.744,8.563,20.776,1.000
1,187,20.346,19.863,0,14.538,1.808,3.847,8.868,21.640,1.000
1,188,20.436,19.882,0,14.253,1.775,3.734,8.532,20.679,1.000
1,189,20.493,19.874,0,14.355,1.786,3.772,8.648,21.020,1.000
1,190,20.345,19.948,0,14.173,1.798,3.820,8.801,21.485,1.000
1,191,19.833,19.882,0,13.718,1.789,3.790,8.720,21.278,1.000
1,192,20.374,19.912,0,14.447,1.803,3.836,8.848,21.615,1.000
1,193,20.353,19.997,0,13.683,1.788,3.788,8.719,21.284,1.000
1,194,20.355,20.010,0,13.738,1.800,3.834,8.861,21.707,1.000
1,195,20.384,20.043,0,13.518,1.802,3.845,8.903,21.846,1.000
1,196,20.374,20.043,0,13.321,1.790,3.802,8.770,21.454,1.000
1,197,20.408,20.040,0,13.572,1.793,3.808,8.781,21.470,1.000
1,198,20.307,20.089,0,12.845,1.799,3.839,8.899,21.872,1.000
1,199,19.784,20.037,0,12.340,1.786,3.791,8.755,21.459,1.000
1,200,19.800,20.013,0,12.680,1.776,3.756,8.646,21.137,1.000
1,201,19.865,19.965,0,12.715,1.781,3.775,8.712,21.347,1.000
1,202,20.403,20.054,0,13.386,1.806,3.859,8.951,21.994,1.000
1,203,19.871,20.045,0,12.253,1.781,3.780,8.740,21.466,1.000
1,204,19.758,19.978,0,12.521,1.801,3.844,8.913,21.916,1.000
1,205,19.829,20.020,0,12.270,1.782,3.781,8.736,21.434,1.000
1,206,20.342,20.094,0,12.978,1.811,3.878,9.014,22.195,1.000
1,207,19.824,20.014,0,12.477,1.784,3.784,8.737,21.417,1.000
1,208,19.833,20.048,0,12.314,1.786,3.794,8.773,21.535,1.000
1,209,20.386,20.684,0,15.356,1.854,4.009,9.350,23.015,1.000
1,210,19.789,20.660,0,14.659,1.850,4.000,9.344,23.050,1.000
1,211,19.832,20.643,0,14.683,1.847,3.987,9.304,22.933,1.000
1,212,19.773,20.075,0,12.379,1.778,3.764,8.680,21.260,1.000
1,213,20.307,20.702,0,15.064,1.847,3.983,9.273,22.795,1.000
1,214,20.312,20.704,0,14.982,1.839,3.958,9.202,22.602,1.000
1,215,20.318,20.696,0,15.060,1.846,3.981,9.271,22.795,1.000
1,216,19.792,19.894,0,13.267,1.798,3.826,8.843,21.666,1.000
1,217,20.401,19.992,0,13.788,1.796,3.821,8.821,21.587,1.000
1,218,20.335,20.092,0,13.003,1.808,3.870,8.994,22.146,0.500
1,219,19.693,19.768,0,14.174,1.831,3.932,9.136,22.435,1.000
1,220,20.329,20.071,0,13.181,1.806,3.861,8.967,22.066,1.000
1,221,20.401,20.503,0,15.608,1.822,3.893,8.998,21.989,1.000
1,222,19.740,19.875,0,13.995,1.803,3.836,8.851,21.630,1.000
1,223,20.328,19.922,0,14.061,1.815,3.880,8.991,22.053,1.000
1,224,20.319,19.926,0,14.234,1.818,3.893,9.032,22.177,1.000
1,225,20.311,19.937,0,14.267,1.810,3.864,8.939,21.892,1.000
1,226,20.310,19.924,0,14.078,1.808,3.857,8.921,21.849,1.000
1,227,20.348,19.908,0,14.227,1.802,3.834,8.847,21.624,1.000
1,228,19.734,19.870,0,13.742,1.810,3.864,8.943,21.916,1.000
1,229,20.338,19.923,0,14.077,1.808,3.855,8.911,21.814,1.000
1,230,20.316,19.988,0,13.677,1.778,3.753,8.614,20.983,1.000
1,231,20.328,19.942,0,14.084,1.803,3.840,8.869,21.703,1.000
1,232,20.306,19.983,0,13.834,1.798,3.828,8.847,21.671,1.000
1,233,20.401,19.992,0,13.789,1.801,3.836,8.871,21.741,1.000
1,234,19.802,20.021,0,12.885,1.783,3.779,8.709,21.307,1.000
1,235,20.300,19.903,0,13.938,1.824,3.918,9.114,22.430,1.000
1,236,20.313,19.930,0,13.950,1.823,3.914,9.103,22.397,1.000
1,237,20.383,19.944,0,14.261,1.799,3.823,8.817,21.546,1.000
1,238,19.803,19.858,0,13.617,1.809,3.859,8.926,21.868,1.000
1,239,20.483,20.649,0,15.219,1.815,3.869,8.929,21.794,1.000
1,240,20.315,20.012,0,13.627,1.809,3.868,8.974,22.055,1.000
1,241,19.815,20.029,0,12.647,1.784,3.785,8.736,21.401,1.000
1,242,19.732,19.969,0,13.045,1.794,3.816,8.823,21.638,1.000
1,243,20.305,20.077,0,13.193,1.804,3.855,8.948,22.008,1.000
1,244,19.762,19.986,0,12.890,1.789,3.799,8.774,21.502,1.000
1,245,20.377,20.009,0,13.836,1.804,3.851,8.921,21.895,1.000
1,246,19.836,20.023,0,12.701,1.781,3.774,8.704,21.319,1.000
1,247,20.305,20.063,0,13.063,1.803,3.854,8.946,22.012,1.000
1,248,20.380,20.671,0,15.381,1.863,4.039,9.441,23.277,1.000
1,249,19.821,19.981,0,12.968,1.786,3.790,8.744,21.411,1.000
